No;ur.kpss
255;3.760827992
256;3.91524561
257;3.905051487
258;3.888178754
259;4.047043888
260;4.029692231
261;4.099634724
262;4.172593367
263;4.158426891
264;4.317217187
265;4.385188253
266;4.542412511
267;4.776777373
268;4.911515605
269;5.142094581
270;5.040306774
271;4.939275533
272;4.518222279
273;4.339608456
274;4.485056617
275;4.549931807
276;4.535190125
277;5.067429096
278;5.129329439
279;5.104776507
280;4.603987675
281;4.272801845
282;4.567723147
283;4.706751086
284;5.546130299
285;5.987018949
286;6.184350528
287;6.011054306
288;6.067119518
289;5.493371882
290;5.176193456
291;4.708538667
292;4.697833502
293;4.912207765
294;4.588996206
295;4.275116695
296;3.728992825
297;3.33982804
298;2.808758181
299;3.020487447
300;2.93706868
301;2.637515525
302;2.779988828
303;3.140090045
304;3.133225336
305;2.978789076
306;2.970156761
307;3.108309506
308;3.028349659
309;2.948793303
310;3.22724314
311;3.072767652
312;2.923559376
313;3.201981123
314;3.195159981
315;2.97472359
316;3.107594696
317;3.170395859
318;2.953801244
319;2.807201878
320;2.801303623
321;2.726488356
322;2.715098907
323;2.707558661
324;2.772180293
325;2.421425812
326;2.484599859
327;2.617229277
328;2.336876101
329;2.262695093
330;2.464190394
331;2.663182318
332;2.859282599
333;2.922396212
334;2.576413694
335;2.569444937
336;2.564243061
337;2.830377616
338;2.822768062
339;2.749083614
340;3.077165867
341;3.071002349
342;2.997227354
343;2.790878812
344;2.583780699
345;2.513359812
346;2.707329433
347;2.570157946
348;2.500130221
349;2.752467339
350;2.680775115
351;2.804226787
352;2.793296256
353;2.787862885
354;2.782450611
355;2.84256865
356;2.773476706
357;2.960319131
358;3.015948831
359;3.201297699
360;3.32298945
361;2.992900878
362;2.98719383
363;2.727730171
364;2.405179232
365;2.213179173
366;2.208988527
367;2.142489008
368;2.264247675
369;2.19513361
370;2.064508733
371;1.872713905
372;1.682806928
373;1.617956888
374;1.429928001
375;1.36733019
376;1.428152184
377;1.674457727
378;1.609941893
379;1.73057471
380;1.603982568
381;1.416716026
382;1.475134309
383;1.473323151
384;1.5941478
385;1.652930195
386;1.652930195
387;1.713628224
388;2.255505552
389;2.069459124
390;1.946533479
391;2.121934723
392;2.239125318
393;2.59598037
394;2.530255466
395;2.586610371
396;2.641209954
397;2.754665196
398;3.167279987
399;3.693093903
400;2.969339293
401;3.084467535
402;3.666880364
403;3.53601954
404;3.296354955
405;3.398100819
406;3.392138095
407;3.386196261
408;3.378306124
409;3.653639206
410;3.468555799
411;2.9388459
412;3.167555345
413;3.501074937
414;3.144014317
415;2.685108472
416;2.685108472
417;2.559138807
418;2.10534092
419;1.87665445
420;1.590942647
421;1.188805396
422;1.129955525
423;1.353658572
424;1.630623704
425;1.233199485
426;1.063542071
427;1.454978101
428;1.73237079
429;1.504625766
430;2.006756305
431;2.228504479
432;2.450011187
433;2.7201233
434;3.097592789
435;2.980353039
436;2.151807163
437;1.876434747
438;1.930029581
439;2.034714133
440;2.191868571
441;2.350477162
442;2.021374478
443;1.910017137
444;2.01477003
445;2.006030945
446;1.674357236
447;1.725110167
448;2.266691756
449;2.856567175
450;3.118532283
451;2.897198344
452;2.515519314
453;2.50746666
454;3.141062062
455;3.557582497
456;3.2876768
457;2.805158793
458;3.007348768
459;3.156495615
460;3.306520061
461;2.828894769
462;2.509279591
463;3.021063085
464;3.582007658
465;4.632840805
466;4.258145206
467;3.284030365
468;3.284030365
469;3.940136168
470;3.57363193
471;3.360805099
472;3.550068539
473;3.90021578
474;4.096653751
475;4.022664032
476;3.851438759
477;1.992097749
478;1.396531425
479;1.94957437
480;2.492651488
481;2.054514742
482;2.391436625
483;2.759763085
484;2.559878495
485;2.673818476
486;2.657148167
